Size (d.nm) - ID07 [Steady state]	Intensity (Percent) - ID07 [Steady state]
0.3	0
0.3489	0
0.4057	0
0.4718	0
0.5487	0
0.6381	0
0.742	0
0.8629	0
1.003	0
1.167	0
1.357	0
1.578	0
1.835	0
2.134	0
2.482	0
2.886	0
3.357	0
3.903	0
4.539	0
5.279	0
6.139	0
7.139	0
8.302	0
9.655	0
11.23	0
13.06	0
15.18	0
17.66	0
20.53	0
23.88	0
27.77	0
32.3	0
37.56	0
43.68	0
50.79	0
59.07	1.464
68.69	5.885
79.88	11.78
92.89	16.83
108	19.17
125.6	18.07
146.1	14.04
169.9	8.583
197.6	3.582
229.8	0.6027
267.2	0
310.7	0
361.3	0
420.2	0
488.7	0
568.3	0
660.9	0
768.5	0
893.8	0
1039	0
1209	0
1406	0
1635	0
1901	0
2211	0
2571	0
2990	0
3477	0
4043	0
4702	0
5468	0
6358	0
7394	0
8599	0
1E+04	0
