Time (µs) - ID07 [Steady state]	Correlation Coefficient (g₂-1) - ID07 [Steady state]
0.0875	0.9191
0.1	0.918
0.1125	0.9147
0.125	0.9108
0.1375	0.9097
0.15	0.9092
0.1625	0.9093
0.175	0.9076
0.1875	0.9081
0.2	0.9082
0.2125	0.9085
0.225	0.9097
0.2375	0.9043
0.25	0.9068
0.2625	0.9064
0.275	0.9083
0.2875	0.9045
0.3	0.9038
0.3125	0.908
0.325	0.9115
0.3375	0.9098
0.35	0.91
0.3625	0.9047
0.375	0.9036
0.3875	0.9023
0.4	0.9043
0.425	0.9048
0.45	0.9012
0.475	0.8993
0.5	0.8976
0.525	0.8993
0.55	0.9017
0.575	0.9036
0.6	0.9047
0.625	0.9028
0.65	0.9005
0.675	0.898
0.7	0.8963
0.725	0.8966
0.75	0.8967
0.775	0.8991
0.8	0.8991
0.85	0.8983
0.9	0.8972
0.95	0.8984
1	0.8991
1.05	0.8991
1.1	0.8977
1.15	0.8965
1.2	0.8953
1.25	0.8949
1.3	0.8945
1.35	0.8942
1.4	0.8935
1.45	0.8923
1.5	0.8921
1.55	0.8943
1.6	0.895
1.7	0.8951
1.8	0.8932
1.9	0.8931
2	0.892
2.1	0.8911
2.2	0.89
2.3	0.889
2.4	0.8876
2.5	0.8869
2.6	0.8872
2.7	0.888
2.8	0.8879
2.9	0.8869
3	0.8847
3.1	0.8835
3.2	0.8828
3.4	0.8829
3.6	0.8823
3.8	0.8812
4	0.88
4.2	0.8787
4.4	0.8777
4.6	0.8772
4.8	0.876
5	0.8743
5.2	0.8734
5.4	0.8724
5.6	0.8713
5.8	0.8693
6	0.8686
6.2	0.8682
6.4	0.8677
6.8	0.865
7.2	0.8619
7.6	0.8596
8	0.8573
8.4	0.8547
8.8	0.8524
9.2	0.8505
9.6	0.8488
10	0.8468
10.4	0.8443
10.8	0.8425
11.2	0.8405
11.6	0.8386
12	0.837
12.4	0.8345
12.8	0.8325
13.6	0.8278
14.4	0.8239
15.2	0.8198
16	0.8156
16.8	0.8113
17.6	0.8068
18.4	0.8029
19.2	0.7991
20	0.7952
20.8	0.7911
21.6	0.7872
22.4	0.7833
23.2	0.7796
24	0.7755
24.8	0.7721
25.6	0.7684
27.2	0.7605
28.8	0.7525
30.4	0.7447
32	0.7373
33.6	0.73
35.2	0.7228
36.8	0.7157
38.4	0.7085
40	0.7015
41.6	0.6948
43.2	0.6876
44.8	0.6807
46.4	0.6734
48	0.6667
49.6	0.6601
51.2	0.6536
54.4	0.6409
57.6	0.6281
60.8	0.6155
64	0.6034
67.2	0.5915
70.4	0.5798
73.6	0.5682
76.8	0.557
80	0.5462
83.2	0.5356
86.4	0.5252
89.6	0.515
92.8	0.5048
96	0.4949
99.2	0.4852
102.4	0.4757
108.8	0.4574
115.2	0.4396
121.6	0.4226
128	0.4063
134.4	0.3904
140.8	0.3754
147.2	0.361
153.6	0.3473
160	0.3341
166.4	0.3214
172.8	0.3091
179.2	0.2973
185.6	0.2861
192	0.2753
198.4	0.2649
204.8	0.2548
217.6	0.2362
230.4	0.2188
243.2	0.2028
256	0.1879
268.8	0.1743
281.6	0.1617
294.4	0.15
307.2	0.1391
320	0.129
332.8	0.1195
345.6	0.1107
358.4	0.1026
371.2	0.09512
384	0.08836
396.8	0.08215
409.6	0.0765
435.2	0.06629
460.8	0.05739
486.4	0.04994
512	0.04372
537.6	0.03853
563.2	0.03411
588.8	0.03025
614.4	0.02683
640	0.02378
665.6	0.02099
691.2	0.01843
716.8	0.01602
742.4	0.01385
768	0.01195
793.6	0.01039
819.2	0.009087
870.4	0.007009
921.6	0.005658
972.8	0.004893
1024	0.004376
1075	0.00368
1126	0.003045
1178	0.002558
1229	0.00236
1280	0.002331
1331	0.002342
1382	0.002399
1434	0.002435
1485	0.00271
1536	0.002942
1587	0.003182
1638	0.003337
1741	0.003668
1843	0.004067
1946	0.004008
2048	0.003692
2150	0.003015
2253	0.002356
2355	0.001998
2458	0.001838
2560	0.001957
2662	0.001762
2765	0.001573
2867	0.001664
2970	0.002109
3072	0.002598
3174	0.002826
3277	0.002821
3482	0.002658
3686	0.002189
3891	0.001729
4096	0.001637
4301	0.001802
4506	0.002178
4710	0.002367
4915	0.002441
5120	0.002614
5325	0.002302
5530	0.00201
5734	0.001841
5939	0.002199
6144	0.002686
6349	0.0031
6554	0.003237
6963	0.003593
7373	0.003542
7782	0.003169
8192	0.002982
8602	0.002754
9011	0.00284
9421	0.003164
9830	0.003356
1.024E+04	0.003684
1.065E+04	0.0031
1.106E+04	0.003
1.147E+04	0.002656
1.188E+04	0.002793
1.229E+04	0.00231
1.27E+04	0.002353
1.311E+04	0.002279
1.393E+04	0.002846
1.475E+04	0.002983
1.556E+04	0.002853
1.638E+04	0.002898
1.72E+04	0.002612
1.802E+04	0.00269
1.884E+04	0.003255
1.966E+04	0.003478
2.048E+04	0.003704
2.13E+04	0.003293
2.212E+04	0.003
2.294E+04	0.002679
2.376E+04	0.002577
2.458E+04	0.002817
2.54E+04	0.002833
2.621E+04	0.002655
2.785E+04	0.002418
2.949E+04	0.002407
3.113E+04	0.00255
3.277E+04	0.002246
3.441E+04	0.002144
3.604E+04	0.001801
3.768E+04	0.002028
3.932E+04	0.001907
4.096E+04	0.002065
4.26E+04	0.002336
4.424E+04	0.002263
4.588E+04	0.002124
4.751E+04	0.002242
4.915E+04	0.002601
5.079E+04	0.00275
5.243E+04	0.002566
5.571E+04	0.002392
5.898E+04	0.00216
6.226E+04	0.001973
6.554E+04	0.001575
6.881E+04	0.001746
7.209E+04	0.001884
7.537E+04	0.002093
7.864E+04	0.002219
8.192E+04	0.001873
8.52E+04	0.002061
8.847E+04	0.001785
9.175E+04	0.002321
9.503E+04	0.00217
9.83E+04	0.002083
1.016E+05	0.001985
1.049E+05	0.001908
1.114E+05	0.001975
1.18E+05	0.001724
1.245E+05	0.001727
1.311E+05	0.001749
1.376E+05	0.001822
1.442E+05	0.001835
1.507E+05	0.00183
1.573E+05	0.001709
1.638E+05	0.001833
1.704E+05	0.001872
1.769E+05	0.002004
1.835E+05	0.001904
1.901E+05	0.001839
1.966E+05	0.00186
2.032E+05	0.001991
2.097E+05	0.002131
2.228E+05	0.002055
2.359E+05	0.001943
2.49E+05	0.00192
2.621E+05	0.001898
2.753E+05	0.002042
2.884E+05	0.002087
3.015E+05	0.002126
3.146E+05	0.001992
3.277E+05	0.001889
3.408E+05	0.001874
3.539E+05	0.001842
3.67E+05	0.001895
3.801E+05	0.001887
3.932E+05	0.001934
4.063E+05	0.001912
4.194E+05	0.00191
4.456E+05	0.001878
4.719E+05	0.001973
4.981E+05	0.002225
5.243E+05	0.00246
5.505E+05	0.002741
5.767E+05	0.002844
6.029E+05	0.002965
6.291E+05	0.00293
