Time (µs) - ID05 [Steady state]	Correlation Coefficient (g₂-1) - ID05 [Steady state]
0.0875	0.914
0.1	0.9097
0.1125	0.8983
0.125	0.893
0.1375	0.8928
0.15	0.9019
0.1625	0.8996
0.175	0.8984
0.1875	0.8943
0.2	0.8984
0.2125	0.8952
0.225	0.8978
0.2375	0.8951
0.25	0.8942
0.2625	0.8941
0.275	0.8929
0.2875	0.8917
0.3	0.8874
0.3125	0.8895
0.325	0.8925
0.3375	0.8942
0.35	0.8916
0.3625	0.8925
0.375	0.8906
0.3875	0.8868
0.4	0.8835
0.425	0.883
0.45	0.8861
0.475	0.8866
0.5	0.889
0.525	0.8925
0.55	0.8916
0.575	0.889
0.6	0.8865
0.625	0.8878
0.65	0.8888
0.675	0.8901
0.7	0.892
0.725	0.8906
0.75	0.8866
0.775	0.8851
0.8	0.8841
0.85	0.886
0.9	0.8853
0.95	0.8854
1	0.8855
1.05	0.8854
1.1	0.8839
1.15	0.882
1.2	0.8796
1.25	0.8803
1.3	0.8815
1.35	0.8839
1.4	0.883
1.45	0.8814
1.5	0.8812
1.55	0.8825
1.6	0.8824
1.7	0.8776
1.8	0.8755
1.9	0.8758
2	0.8775
2.1	0.878
2.2	0.8768
2.3	0.8765
2.4	0.8766
2.5	0.8773
2.6	0.875
2.7	0.8733
2.8	0.8717
2.9	0.8721
3	0.8715
3.1	0.8723
3.2	0.8719
3.4	0.8704
3.6	0.869
3.8	0.8697
4	0.8692
4.2	0.8691
4.4	0.8685
4.6	0.8671
4.8	0.8645
5	0.8623
5.2	0.8618
5.4	0.8617
5.6	0.8618
5.8	0.8611
6	0.8604
6.2	0.8578
6.4	0.8565
6.8	0.8544
7.2	0.8535
7.6	0.8512
8	0.8495
8.4	0.8478
8.8	0.8464
9.2	0.8448
9.6	0.8426
10	0.8403
10.4	0.8384
10.8	0.8376
11.2	0.835
11.6	0.8334
12	0.8304
12.4	0.8301
12.8	0.8284
13.6	0.8255
14.4	0.8222
15.2	0.8186
16	0.8153
16.8	0.8113
17.6	0.808
18.4	0.8044
19.2	0.8008
20	0.797
20.8	0.794
21.6	0.7908
22.4	0.7873
23.2	0.7846
24	0.7813
24.8	0.7791
25.6	0.7755
27.2	0.7695
28.8	0.7624
30.4	0.7558
32	0.7492
33.6	0.7433
35.2	0.7376
36.8	0.7317
38.4	0.7256
40	0.7199
41.6	0.7137
43.2	0.7079
44.8	0.7018
46.4	0.6966
48	0.6907
49.6	0.6844
51.2	0.6786
54.4	0.668
57.6	0.6578
60.8	0.6472
64	0.6369
67.2	0.6266
70.4	0.6167
73.6	0.6067
76.8	0.5972
80	0.5875
83.2	0.5782
86.4	0.5689
89.6	0.5602
92.8	0.5517
96	0.5431
99.2	0.5346
102.4	0.5262
108.8	0.5102
115.2	0.4948
121.6	0.4799
128	0.4656
134.4	0.4518
140.8	0.4384
147.2	0.4255
153.6	0.4127
160	0.4008
166.4	0.3894
172.8	0.3783
179.2	0.3676
185.6	0.3571
192	0.3473
198.4	0.3376
204.8	0.3284
217.6	0.3106
230.4	0.294
243.2	0.2782
256	0.2636
268.8	0.2496
281.6	0.2367
294.4	0.2247
307.2	0.2136
320	0.203
332.8	0.193
345.6	0.1836
