Zeta Potential (mV) - ID05	Total Counts - ID05
-148	0
-144.5	0
-140.9	0
-137.4	0
-133.9	0
-130.3	0
-126.8	0
-123.2	0
-119.7	0
-116.2	0
-112.6	0
-109.1	0
-105.5	0
-102	0
-98.46	0
-94.92	0
-91.38	0
-87.84	0
-84.3	0
-80.76	0
-77.22	0
-73.68	0
-70.14	0
-66.6	0
-63.06	2482
-59.52	1.329E+04
-55.98	3.187E+04
-52.44	8.513E+04
-48.9	2.09E+05
-45.36	3.524E+05
-41.82	4.591E+05
-38.28	5.392E+05
-34.74	4.921E+05
-31.2	3.206E+05
-27.66	1.747E+05
-24.12	9.509E+04
-20.58	5.471E+04
-17.04	2.934E+04
-13.5	1.876E+04
-9.957	1.529E+04
-6.417	3909
-2.877	0
0.6636	0
4.204	0
7.744	0
11.28	0
14.82	0
18.36	0
21.9	0
25.44	0
28.98	0
32.52	0
36.06	0
39.6	0
43.14	0
46.68	0
50.22	0
53.77	0
57.31	0
60.85	0
64.39	0
67.93	0
71.47	0
75.01	0
78.55	0
82.09	0
85.63	0
89.17	0
92.71	0
96.25	0
99.79	0
103.3	0
106.9	0
110.4	0
113.9	0
117.5	0
121	0
124.6	0
128.1	0
131.6	0
135.2	0
138.7	0
142.3	0
145.8	0
