Zeta Potential (mV) - ID07	Total Counts - ID07
-149.9	0
-146.4	0
-142.8	0
-139.3	0
-135.7	0
-132.2	0
-128.7	0
-125.1	0
-121.6	0
-118	0
-114.5	0
-111	0
-107.4	0
-103.9	0
-100.3	0
-96.8	0
-93.26	0
-89.72	0
-86.18	0
-82.64	0
-79.1	0
-75.56	0
-72.02	0
-68.48	0
-64.94	0
-61.4	53.16
-57.86	1.08E+04
-54.32	2.992E+04
-50.78	6.85E+04
-47.24	1.221E+05
-43.7	2.16E+05
-40.16	3.401E+05
-36.62	3.873E+05
-33.08	3.585E+05
-29.54	2.91E+05
-26	1.64E+05
-22.46	5.6E+04
-18.92	1.668E+04
-15.38	3618
-11.84	0
-8.301	0
-4.761	0
-1.221	0
2.319	0
5.859	0
9.399	0
12.94	0
16.48	0
20.02	0
23.56	0
27.1	0
30.64	0
34.18	0
37.72	0
41.26	0
44.8	0
48.34	0
51.88	0
55.42	0
58.96	0
62.5	0
66.04	0
69.58	0
73.12	0
76.66	0
80.2	0
83.74	0
87.28	0
90.82	0
94.36	0
97.9	0
101.4	0
105	0
108.5	0
112.1	0
115.6	0
119.1	0
122.7	0
126.2	0
129.8	0
133.3	0
136.8	0
140.4	0
143.9	0
